City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
137,Ust-Tsilma,RU,2021-11-25 17:40:43,65.441,52.1498,256.9,100,94,1.07
138,Leningradskiy,RU,2021-11-25 17:40:43,69.3833,178.4167,244.53,97,100,2.49
139,Los Llanos De Aridane,ES,2021-11-25 17:40:44,28.6585,-17.9182,290.44,95,75,1.79
140,Aswan,EG,2021-11-25 17:40:44,24.0934,32.907,298.76,22,0,3.09
141,Erenhot,CN,2021-11-25 17:40:45,43.6475,111.9767,267.98,64,1,3.02
142,Ribeira Grande,PT,2021-11-25 17:40:45,38.5167,-28.7,291.37,63,40,10.29
143,Flin Flon,CA,2021-11-25 17:39:13,54.7682,-101.865,259.06,78,90,4.12
144,Kokomo,US,2021-11-25 17:40:46,40.4864,-86.1336,282.16,96,90,7.72
145,Pacifica,US,2021-11-25 17:40:46,37.6138,-122.4869,290.05,57,75,0.45
146,Kavieng,PG,2021-11-25 17:40:47,-2.5744,150.7967,300.92,71,7,3.27
147,Tepeyanco,MX,2021-11-25 17:40:48,19.2458,-98.2333,293.14,42,1,2.57
148,Kupang,ID,2021-11-25 17:40:48,-10.1667,123.5833,300.24,82,99,1.35
149,Touros,BR,2021-11-25 17:35:58,-5.1989,-35.4608,304.65,63,63,6.32
150,Tokmak,UA,2021-11-25 17:40:48,47.2514,35.7058,272.28,74,0,3.26
151,Talcahuano,CL,2021-11-25 17:40:49,-36.7167,-73.1167,292.97,56,0,6.17
152,San Cristobal,VE,2021-11-25 17:40:50,7.7669,-72.225,298.25,63,100,2.72
153,Puerto Maldonado,PE,2021-11-25 17:40:50,-12.6,-69.1833,305.37,62,75,2.57
154,Iqaluit,CA,2021-11-25 17:40:51,63.7506,-68.5145,269.0,80,75,6.17
155,Margate,GB,2021-11-25 17:40:51,51.3813,1.3862,279.09,81,66,8.89
156,Pitanga,BR,2021-11-25 17:40:52,-24.7572,-51.7614,301.0,46,55,1.93
157,Saint-Philippe,RE,2021-11-25 17:40:52,-21.3585,55.7679,298.27,82,69,1.74
158,Namatanai,PG,2021-11-25 17:40:53,-3.6667,152.4333,299.15,80,12,1.7
159,Soyo,AO,2021-11-25 17:40:53,-6.1349,12.3689,298.18,83,100,1.87
160,Meulaboh,ID,2021-11-25 17:40:54,4.1363,96.1285,298.74,84,100,1.86
161,Chicama,PE,2021-11-25 17:40:54,-7.8447,-79.1469,292.45,65,81,4.92
162,Norman Wells,CA,2021-11-25 17:40:55,65.282,-126.8329,245.17,69,75,5.14
163,Iquitos,PE,2021-11-25 17:40:55,-3.7481,-73.2472,304.17,62,75,1.03
164,Sorata,BO,2021-11-25 17:40:56,-15.7667,-68.6333,285.92,75,98,2.91
165,Inuvik,CA,2021-11-25 17:39:53,68.3499,-133.7218,249.71,76,90,1.54
166,Honiara,SB,2021-11-25 17:40:56,-9.4333,159.95,298.55,84,85,2.17
167,Ilulissat,GL,2021-11-25 17:40:58,69.2167,-51.1,270.16,68,75,4.63
168,Sibolga,ID,2021-11-25 17:40:58,1.7427,98.7792,297.81,90,77,1.28
169,Kontagora,NG,2021-11-25 17:40:58,10.3999,5.4695,301.39,21,31,1.15
170,Korla,CN,2021-11-25 17:40:59,41.7597,86.1469,271.71,52,1,1.15
171,Cidreira,BR,2021-11-25 17:41:00,-30.1811,-50.2056,297.12,75,64,8.96
172,Tindivanam,IN,2021-11-25 17:41:00,12.25,79.65,297.39,92,99,3.97
173,Port Alfred,ZA,2021-11-25 17:41:01,-33.5906,26.891,291.08,70,95,10.11
174,Porto Real,BR,2021-11-25 17:41:01,-22.4197,-44.2903,303.04,55,15,1.35
175,Sapernoye,RU,2021-11-25 17:41:02,60.7167,29.9505,277.7,94,100,3.49
176,Quatre Cocos,MU,2021-11-25 17:41:02,-20.2078,57.7625,298.21,70,7,2.19
177,Monrovia,LR,2021-11-25 17:41:02,6.3005,-10.7969,301.45,73,12,4.14
178,Srednekolymsk,RU,2021-11-25 17:41:03,67.45,153.6833,236.18,100,33,1.35
179,Saint Anthony,US,2021-11-25 17:41:04,45.0205,-93.218,267.73,50,1,2.24
180,Tsumeb,NA,2021-11-25 17:41:05,-19.2333,17.7167,301.12,13,0,3.1
181,Pevek,RU,2021-11-25 17:41:05,69.7008,170.3133,249.43,98,100,1.09
182,Te Anau,NZ,2021-11-25 17:41:07,-45.4167,167.7167,284.63,89,99,2.84
183,Itainopolis,BR,2021-11-25 17:42:07,-7.4469,-41.4783,313.31,19,59,2.13
184,Luau,AO,2021-11-25 17:42:08,-10.7073,22.2247,292.32,96,100,0.1
185,Moa,CU,2021-11-25 17:42:08,20.6569,-74.9403,298.51,67,95,5.01
186,Kotido,UG,2021-11-25 17:42:09,2.9806,34.1331,299.17,35,85,3.2
187,Olafsvik,IS,2021-11-25 17:42:09,64.8945,-23.7142,275.34,69,38,6.23
188,Bethel,US,2021-11-25 17:42:10,41.3712,-73.414,285.69,46,90,0.45
189,Itaituba,BR,2021-11-25 17:42:10,-4.2761,-55.9836,305.24,66,40,1.03
190,Lorengau,PG,2021-11-25 17:42:11,-2.0226,147.2712,300.19,75,54,1.14
191,Palauig,PH,2021-11-25 17:42:12,15.435,119.9045,300.26,72,100,2.31
192,Madera,US,2021-11-25 17:38:56,37.1666,-119.8343,294.8,60,3,1.15
193,Roma,US,2021-11-25 17:42:13,43.2128,-75.4557,281.72,62,90,2.06
194,Marsh Harbour,BS,2021-11-25 17:42:13,26.5412,-77.0636,295.95,64,46,7.74
195,Kamenka,RU,2021-11-25 17:42:14,51.3223,42.7678,274.12,90,88,4.07
196,Klaksvik,FO,2021-11-25 17:42:14,62.2266,-6.589,278.66,93,100,9.33
197,Hilo,US,2021-11-25 17:42:15,19.7297,-155.09,297.19,95,90,2.06
198,Laktasi,BA,2021-11-25 17:42:15,44.9081,17.3008,279.07,100,98,1.03
199,Novo Oriente,BR,2021-11-25 17:42:16,-5.5344,-40.7742,310.06,23,85,3.12
200,Loubomo,CG,2021-11-25 17:42:16,-4.1997,12.6739,295.13,96,79,0.72
201,Beringovskiy,RU,2021-11-25 17:42:17,63.05,179.3167,250.87,89,60,4.24
202,Longyearbyen,SJ,2021-11-25 17:42:17,78.2186,15.6401,262.06,48,20,7.2
203,Seoul,KR,2021-11-25 17:38:34,37.5683,126.9778,274.88,69,0,1.54
